df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity,address
drew university,,NJ,drew university,,NJ,100,Address not found
drury university,,MO,drury university,,MO,100,Address not found
drury university-college of continuing professional studies,,MO,drury university-college of continuing professional studies,,MO,100,Address not found
dunwoody college of technology,,MN,dunwoody college of technology,,MN,100,Address not found
duquesne university,,PA,duquesne university,,PA,100,Address not found
eagle gate college-boise campus,,ID,eagle gate college-boise campus,,ID,100,Address not found
eagle gate college-layton,,UT,eagle gate college-layton,,UT,100,Address not found
eagle gate college-murray,,UT,eagle gate college-murray,,UT,100,Address not found
earlham college,,IN,earlham college,,IN,100,Address not found
east central university,,OK,east central university,,OK,100,Address not found
east stroudsburg university of pennsylvania,,PA,east stroudsburg university of pennsylvania,,PA,100,Address not found
east tennessee state university,,TN,east tennessee state university,,TN,100,Address not found
east texas baptist university,,TX,east texas baptist university,,TX,100,Address not found
east-west university,,IL,east-west university,,IL,100,Address not found
eastern connecticut state university,,CT,eastern connecticut state university,,CT,100,Address not found
eastern florida state college,,FL,eastern florida state college,,FL,100,Address not found
eastern illinois university,,IL,eastern illinois university,,IL,100,Address not found
eastern international college-belleville,,NJ,eastern international college-jersey city,,NJ,77,Address not found
eastern international college-jersey city,,NJ,eastern international college-jersey city,,NJ,100,Address not found
eastern kentucky university,,KY,eastern kentucky university,,KY,100,Address not found
eastern mennonite university,,VA,eastern mennonite university,,VA,100,Address not found
eastern oregon university,,OR,eastern oregon university,,OR,100,Address not found
eastern university,,PA,eastern university,,PA,100,Address not found
eastern washington university,,WA,eastern washington university,,WA,100,Address not found
eastwick college-ramsey,,NJ,eastwick college-ramsey,,NJ,100,Address not found
eckerd college,,FL,eckerd college,,FL,100,Address not found
ecpi university,,VA,ecpi university,,VA,100,Address not found
edgewood college,,WI,edgewood college,,WI,100,Address not found
edinboro university of pennsylvania,,PA,university of pennsylvania,,PA,85,Address not found
edmonds college,,WA,edmonds college,,WA,100,Address not found
elim bible institute and college,,NY,elim bible institute and college,,NY,100,Address not found
elizabethtown college,,PA,elizabethtown college,,PA,100,Address not found
elmhurst university,,IL,elmhurst university,,IL,100,Address not found
