inst,state,city
southern california seminary,CA,El Cajon
la sierra university,CA,Riverside
loma linda university,CA,Loma Linda
long beach city college,CA,Long Beach
southern california university of health sciences,CA,Whittier
los angeles harbor college,CA,Wilmington
los angeles pierce college,CA,Woodland Hills
los angeles southwest college,CA,Los Angeles
los angeles trade technical college,CA,Los Angeles
los angeles valley college,CA,Valley Glen
the master's university and seminary,CA,Santa Clarita
los angeles city college,CA,Los Angeles
los angeles county college of nursing and allied health,CA,Los Angeles
los angeles mission college,CA,Sylmar
los medanos college,CA,Pittsburg
loyola marymount university,CA,Los Angeles
lu ross academy,CA,Ventura
lyle's college of beauty,CA,Bakersfield
lyle's college of  beauty,CA,Fresno
lytles redwood empire beauty college,CA,Santa Rosa
mti college,CA,Sacramento
college of marin,CA,Kentfield
mendocino college,CA,Ukiah
menlo college,CA,Atherton
merced college,CA,Merced
merritt college,CA,Oakland
miracosta college,CA,Oceanside
mission college,CA,Santa Clara
modern beauty academy,CA,Oxnard
modesto junior college,CA,Modesto
moler barber college,CA,Oakland
middlebury institute of international studies at monterey,CA,Monterey
monterey peninsula college,CA,Monterey
moorpark college,CA,Moorpark
mt san antonio college,CA,Walnut
mount saint mary's university,CA,Los Angeles
mt san jacinto community college district,CA,San Jacinto
musicians institute,CA,Hollywood
napa valley college,CA,Napa
national holistic institute,CA,Emeryville
national university,CA,San Diego
naval postgraduate school,CA,Monterey
newschool of architecture and design,CA,San Diego
north adrian's college of beauty inc,CA,Modesto
north-west college-pomona,CA,Pomona
north-west college-west covina,CA,West Covina
north-west college-van nuys,CA,Van Nuys
san francisco bay university,CA,Fremont
notre dame de namur university,CA,Belmont
occidental college,CA,Los Angeles
ohlone college,CA,Fremont
orange coast college,CA,Costa Mesa
otis college of art and design,CA,Los Angeles
oxnard college,CA,Oxnard
hope international university,CA,Fullerton
concorde career college-san diego,CA,San Diego
palo alto university,CA,Palo Alto
pacific oaks college,CA,Pasadena
pacific school of religion,CA,Berkeley
pacific states university,CA,Los Angeles
pacific union college,CA,Angwin
university of the pacific,CA,Stockton
palo verde college,CA,Blythe
palomar college,CA,San Marcos
pasadena city college,CA,Pasadena
pepperdine university,CA,Malibu
pitzer college,CA,Claremont
platt college-san diego,CA,San Diego
point loma nazarene university,CA,San Diego
pomona college,CA,Claremont
porterville college,CA,Porterville
professional institute of beauty,CA,El Monte
santa ana college,CA,Santa Ana
pardee rand graduate school,CA,Santa Monica
shasta school of cosmetology,CA,Redding
university of redlands,CA,Redlands
college of the redwoods,CA,Eureka
salon success academy-upland,CA,Upland
salon success academy-corona,CA,Corona
rio hondo college,CA,Whittier
riverside city college,CA,Riverside
dongguk university los angeles,CA,Los Angeles
sacramento city college,CA,Sacramento
saddleback college,CA,Mission Viejo
samuel merritt university,CA,Oakland
san diego city college,CA,San Diego
san diego mesa college,CA,San Diego
san diego miramar college,CA,San Diego
san diego state university,CA,San Diego
university of san diego,CA,San Diego
san francisco conservatory of music,CA,San Francisco
san francisco state university,CA,San Francisco
university of san francisco,CA,San Francisco
san joaquin college of law,CA,Clovis
san joaquin delta college,CA,Stockton
san joaquin valley college-visalia,CA,Visalia
san joaquin valley college-bakersfield,CA,Bakersfield
william jessup university,CA,Rocklin
san jose city college,CA,San Jose
san jose state university,CA,San Jose
college of san mateo,CA,San Mateo
santa barbara city college,CA,Santa Barbara
santa clara university,CA,Santa Clara
santa monica college,CA,Santa Monica
santa rosa junior college,CA,Santa Rosa
saybrook university,CA,Pasadena
scripps college,CA,Claremont
college of the sequoias,CA,Visalia
shasta bible college and graduate school,CA,Redding
shasta college,CA,Redding
sierra college,CA,Rocklin
sierra college of beauty,CA,Merced
trinity law school,CA,Santa Ana
simpson university,CA,Redding
college of the siskiyous,CA,Weed
charles a jones career and education center,CA,Sacramento
skyline college,CA,San Bruno
san bernardino valley college,CA,San Bernardino
saint mary's college of california,CA,Moraga
solano community college,CA,Fairfield
sonoma state university,CA,Rohnert Park
south baylo university,CA,Anaheim
south coast college,CA,Orange
vanguard university of southern california,CA,Costa Mesa
concorde career college-garden grove,CA,Garden Grove
southwestern college,CA,Chula Vista
starr king school for the ministry,CA,Oakland
marshall b ketchum university,CA,Fullerton
southern california institute of architecture,CA,Los Angeles
university of southern california,CA,Los Angeles
southwestern law school,CA,Los Angeles
taft college,CA,Taft
claremont school of theology,CA,Claremont
thomas aquinas college,CA,Santa Paula
epic bible college & graduate school,CA,Sacramento
uei college-huntington park,CA,Huntington Park
concorde career college-san bernardino,CA,San Bernardino
concorde career college-north hollywood,CA,North Hollywood
ventura college,CA,Ventura
the colleges of law at ventura,CA,Ventura
bridges beauty college,CA,Victorville
victor valley college,CA,Victorville
berkeley city college,CA,Berkeley
walden university,MN,Minneapolis
waynes college of beauty,CA,Salinas
west hills college-coalinga,CA,Coalinga
west los angeles college,CA,Culver City
west valley college,CA,Saratoga
carrington college-sacramento,CA,Sacramento
westminster theological seminary in california,CA,Escondido
westmont college,CA,Santa Barbara
whittier college,CA,Whittier
woodbury university,CA,Burbank
the wright institute,CA,Berkeley
thomas jefferson school of law,CA,San Diego
yeshiva ohr elchonon chabad west coast talmudical seminary,CA,Los Angeles
yuba college,CA,Marysville
adams state university,CO,Alamosa
aims community college,CO,Greeley
arapahoe community college,CO,Littleton
bel-rea institute of animal technology,CO,Denver
university of colorado denver/anschutz medical campus,CO,Denver
university of colorado colorado springs,CO,Colorado Springs
spartan college of aeronautics and technology,CO,Broomfield
university of colorado boulder,CO,Boulder
colorado christian university,CO,Lakewood
colorado college,CO,Colorado Springs
concorde career college-aurora,CO,Aurora
colorado mountain college,CO,Glenwood Springs
colorado northwestern community college,CO,Rangely
colorado school of mines,CO,Golden
colorado school of trades,CO,Lakewood
colorado state university-fort collins,CO,Fort Collins
colorado technical university-colorado springs,CO,Colorado Springs
community college of aurora,CO,Aurora
technical college of the rockies,CO,Delta
community college of denver,CO,Denver
lincoln college of technology-denver,CO,Denver
denver seminary,CO,Littleton
university of denver,CO,Denver
emily griffith technical college,CO,Denver
fort lewis college,CO,Durango
front range community college,CO,Westminster
iliff school of theology,CO,Denver
international salon and spa academy,CO,Colorado Springs
lamar community college,CO,Lamar
colorado mesa university,CO,Grand Junction
metropolitan state university of denver,CO,Denver
morgan community college,CO,Fort  Morgan
naropa university,CO,Boulder
nazarene bible college,CO,Colorado Springs
northeastern junior college,CO,Sterling
university of northern colorado,CO,Greeley
otero college,CO,La Junta
pikes peak state college,CO,Colorado Springs
pueblo community college,CO,Pueblo
red rocks community college,CO,Lakewood
regis university,CO,Denver
rocky mountain college of art and design,CO,Lakewood
montessori education center of the rockies,CO,Denver
colorado state university pueblo,CO,Pueblo
pickens technical college,CO,Aurora
intellitec college-colorado springs,CO,Colorado Springs
intellitec college-grand junction,CO,Grand Junction
trinidad state college,CO,Trinidad
united states air force academy,CO,USAF Academy
empire beauty school-thornton,CO,Thornton
western colorado university,CO,Gunnison
albertus magnus college,CT,New Haven
asnuntuck community college,CT,Enfield
bais binyomin academy,NY,Monsey
university of bridgeport,CT,Bridgeport
central connecticut state university,CT,New Britain
charter oak state college,CT,New Britain
cortiva institute,CT,Cromwell
connecticut college,CT,New London
porter & chester institute of hamden,CT,Hamden
university of connecticut,CT,Storrs
goodwin university,CT,East Hartford
lincoln technical institute-east windsor,CT,East Windsor
eastern connecticut state university,CT,Willimantic
fairfield university,CT,Fairfield
paul mitchell the school-north haven,CT,North Haven
capital community college,CT,Hartford
rensselaer at hartford,CT,Hartford
american institute-west hartford,CT,West Hartford
hartford international university for religion and peace,CT,Hartford
university of hartford,CT,West Hartford
holy apostles college and seminary,CT,Cromwell
housatonic community college,CT,Bridgeport
manchester community college,CT,Manchester
naugatuck valley community college,CT,Waterbury
middlesex community college,CT,Middletown
mitchell college,CT,New London
three rivers community college,CT,Norwich
lincoln technical institute-new britain,CT,New Britain
new england tractor trailer training school of connecticut,CT,Somers
university of new haven,CT,West Haven
norwalk community college,CT,Norwalk
northwestern connecticut community college,CT,Winsted
paier college,CT,Bridgeport
porter & chester institute,CT,Bridgeport
post university,CT,Waterbury
quinebaug valley community college,CT,Danielson
quinnipiac university,CT,Hamden
sacred heart university,CT,Fairfield
university of saint joseph,CT,West Hartford
gateway community college,CT,New Haven
southern connecticut state university,CT,New Haven
trinity college,CT,Hartford
tunxis community college,CT,Farmington
united states coast guard academy,CT,New London
wesleyan university,CT,Middletown
western connecticut state university,CT,Danbury
yale university,CT,New Haven
margaret h rollins school of nursing at beebe medical center,DE,Lewes
dawn career institute llc,DE,Newark
delaware technical community college-terry,DE,Dover
delaware state university,DE,Dover
university of delaware,DE,Newark
goldey-beacom college,DE,Wilmington
schilling-douglas school of hair design llc,DE,Newark
wilmington university,DE,New Castle
american university,DC,Washington
the catholic university of america,DC,Washington
university of the district of columbia,DC,Washington
pontifical faculty of the immaculate conception at the dominican house of studies,DC,Washington
gallaudet university,DC,Washington
george washington university,DC,Washington
georgetown university,DC,Washington
howard university,DC,Washington
strayer university-district of columbia,DC,Washington
national conservatory of dramatic arts,DC,Washington
trinity washington university,DC,Washington
wesley theological seminary,DC,Washington
atlantic technical college,FL,Coconut Creek
the baptist college of florida,FL,Graceville
barry university,FL,Miami
bethune-cookman university,FL,Daytona Beach
lynn university,FL,Boca Raton
north florida technical college,FL,Starke
eastern florida state college,FL,Melbourne
broward college,FL,Fort Lauderdale
albizu university-miami,FL,Miami
college of central florida,FL,Ocala
johnson university florida,FL,Kissimmee
university of central florida,FL,Orlando
charlotte technical college,FL,Port Charlotte
chipola college,FL,Marianna
lorenzo walker technical college,FL,Naples
daytona state college,FL,Daytona Beach
south university-west palm beach,FL,Royal Palm Beach
eckerd college,FL,Saint Petersburg
florida southwestern state college,FL,Fort Myers
edward waters university,FL,Jacksonville
embry-riddle aeronautical university-daytona beach,FL,Daytona Beach
florida agricultural and mechanical university,FL,Tallahassee
florida atlantic university,FL,Boca Raton
florida state college at jacksonville,FL,Jacksonville
flagler college,FL,Saint Augustine
florida college,FL,Temple Terrace
concorde career institute-jacksonville,FL,Jacksonville
concorde career institute-miramar,FL,Miramar
concorde career institute-tampa,FL,Tampa
adventhealth university,FL,Orlando
florida institute of technology,FL,Melbourne
florida international university,FL,Miami
the college of the florida keys,FL,Key West
florida memorial university,FL,Miami Gardens
florida career college-miami,FL,Miami
florida school of massage,FL,Gainesville
florida southern college,FL,Lakeland
florida state university,FL,Tallahassee
university of florida,FL,Gainesville
fort pierce beauty academy,FL,Fort Pierce
full sail university,FL,Winter Park
george stone technical college,FL,Pensacola
george t baker aviation technical college,FL,Miami
gulf coast state college,FL,Panama City
key college,FL,Fort Lauderdale
hillsborough community college,FL,Tampa
hobe sound bible college,FL,Hobe Sound
hollywood institute of beauty careers,FL,Hollywood
cortiva institute,FL,St. Petersburg
indian river state college,FL,Fort Pierce
international academy,FL,South Daytona
ai miami international university of art and design,FL,Miami
jacksonville university,FL,Jacksonville
keiser university-ft lauderdale,FL,Fort Lauderdale
la belle beauty school,FL,Hialeah
florida gateway college,FL,Lake City
lake technical college,FL,Eustis
lake-sumter state college,FL,Leesburg
fort myers technical college,FL,Fort Myers
lively technical college,FL,Tallahassee
lindsey hopkins technical college,FL,Miami
loraines academy & spa,FL,Saint Petersburg
luther rice college & seminary,GA,Lithonia
state college of florida-manatee-sarasota,FL,Bradenton
manatee technical college,FL,Bradenton
traviss technical college,FL,Lakeland
merryfield school of pet grooming,FL,Oakland Park
trinity international university-florida,FL,Miami
miami lakes educational center and technical college,FL,Miami Lakes
miami dade college,FL,Miami
university of miami,FL,Coral Gables
orange technical college-mid florida campus,FL,Orlando
paul mitchell the school-jacksonville,FL,Jacksonville
north florida college,FL,Madison
university of north florida,FL,Jacksonville
nova southeastern university,FL,Fort Lauderdale
northwest florida state college,FL,Niceville
orange technical college,FL,Orlando
palm beach atlantic university,FL,West Palm Beach
palm beach state college,FL,Lake Worth
pasco-hernando state college,FL,New Port Richey
pensacola state college,FL,Pensacola
pinellas technical college-clearwater,FL,Clearwater
polk state college,FL,Winter Haven
radford m locklin technical college,FL,Milton
saint vincent de paul regional seminary,FL,Boynton Beach
ridge technical college,FL,Winter Haven
ringling college of art and design,FL,Sarasota
robert morgan educational center and technical college,FL,Miami
rollins college,FL,Winter Park
first coast technical college,FL,Saint Augustine
saint leo university,FL,Saint Leo
st petersburg college,FL,St. Petersburg
pinellas technical college-st. petersburg,FL,Saint Petersburg
santa fe college,FL,Gainesville
suncoast technical college,FL,Sarasota
seminole state college of florida,FL,Sanford
sheridan technical college,FL,Hollywood
st. john vianney college seminary,FL,Miami
saint johns river state college,FL,Palatka
south florida state college,FL,Avon Park
university of south florida,FL,Tampa
st. thomas university,FL,Miami Gardens
stetson university,FL,DeLand
southeastern university,FL,Lakeland
bene's career academy,FL,New Port Richey
riveroak technical college,FL,Live Oak
tallahassee community college,FL,Tallahassee
talmudic college of florida,FL,Miami Beach
altierus career college-tampa,FL,Tampa
the university of tampa,FL,Tampa
big bend technical college,FL,Perry
tom p. haney technical college,FL,Panama City
trinity baptist college,FL,Jacksonville
trinity college of florida,FL,Trinity
valencia college,FL,Orlando
warner university,FL,Lake Wales
florida panhandle technical college,FL,Chipley
webber international university,FL,Babson Park
rasmussen university-florida,FL,Ocala
the university of west florida,FL,Pensacola
orange technical college-westside campus,FL,Winter Garden
william t mcfatter technical college,FL,Davie
orange technical college-east campus,FL,Winter Park
withlacoochee technical college,FL,Inverness
abraham baldwin agricultural college,GA,Tifton
agnes scott college,GA,Decatur
interactive college of technology-chamblee,GA,Chamblee
interactive college of technology-morrow,GA,Morrow
albany technical college,GA,Albany
albany state university,GA,Albany
andrew college,GA,Cuthbert
the art institute of atlanta,GA,Atlanta
georgia career institute,GA,Conyers
atlanta technical college,GA,Atlanta
point university,GA,West Point
atlanta metropolitan state college,GA,Atlanta
atlanta's john marshall law school,GA,Atlanta
atlanta school of massage,GA,Atlanta
clark atlanta university,GA,Atlanta
augusta technical college,GA,Augusta
berry college,GA,Mount Berry
beulah heights university,GA,Atlanta
brenau university,GA,Gainesville
brewton-parker college,GA,Mount Vernon
college of coastal georgia,GA,Brunswick
west georgia technical college,GA,Waco
clayton  state university,GA,Morrow
columbia theological seminary,GA,Decatur
columbus technical college,GA,Columbus
columbus state university,GA,Columbus
georgia northwestern technical college,GA,Rome
covenant college,GA,Lookout Mountain
dalton state college,GA,Dalton
pro way hair school,GA,Stone Mountain
south university-savannah,GA,Savannah
east georgia state college,GA,Swainsboro
emmanuel college,GA,Franklin Springs
emory university,GA,Atlanta
georgia highlands college,GA,Rome
fort valley state university,GA,Fort Valley
grady health system professional schools,GA,Atlanta
georgia institute of technology-main campus,GA,Atlanta
georgia southwestern state university,GA,Americus
georgia college & state university,GA,Milledgeville
georgia southern university,GA,Statesboro
georgia state university,GA,Atlanta
university of georgia,GA,Athens
gordon state college,GA,Barnesville
southern crescent technical college,GA,Griffin
gupton jones college of funeral service,GA,Decatur
gwinnett college-lilburn,GA,Lilburn
gwinnett technical college,GA,Lawrenceville
interdenominational theological center,GA,Atlanta
lagrange college,GA,Lagrange
lanier technical college,GA,Gainesville
life university,GA,Marietta
chattahoochee technical college,GA,Marietta
herzing university-atlanta,GA,Atlanta
mercer university,GA,Macon
morehouse college,GA,Atlanta
morehouse school of medicine,GA,Atlanta
morris brown college,GA,Atlanta
north georgia technical college,GA,Clarkesville
oglethorpe university,GA,Atlanta
paine college,GA,Augusta
piedmont university,GA,Demorest
miami ad school-atlanta,GA,Atlanta
reinhardt university,GA,Waleska
savannah technical college,GA,Savannah
savannah college of art and design,GA,Savannah
savannah state university,GA,Savannah
shorter university,GA,Rome
south georgia technical college,GA,Americus
spelman college,GA,Atlanta
thomas university,GA,Thomasville
toccoa falls college,GA,Toccoa Falls
truett mcconnell university,GA,Cleveland
wiregrass georgia technical college,GA,Valdosta
valdosta state university,GA,Valdosta
wesleyan college,GA,Macon
university of west georgia,GA,Carrollton
young harris college,GA,Young Harris
chaminade university of honolulu,HI,Honolulu
university of hawaii at hilo,HI,Hilo
university of hawaii at manoa,HI,Honolulu
hawaii institute of hair design,HI,Honolulu
hawaii pacific university,HI,Honolulu
honolulu community college,HI,Honolulu
kapiolani community college,HI,Honolulu
kauai community college,HI,Lihue
leeward community college,HI,Pearl City
university of hawaii maui college,HI,Kahului
university of hawaii-west oahu,HI,Kapolei
windward community college,HI,Kaneohe
carrington college-boise,ID,Boise
boise bible college,ID,Boise
boise state university,ID,Boise
college of eastern idaho,ID,Idaho Falls
idaho state university,ID,Pocatello
university of idaho,ID,Moscow
