df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity
central yeshiva tomchei tmimim lubavitz,,NY,central yeshiva tomchei tmimim lubavitz,,NY,100
centralia college,,WA,centralia college,,WA,100
centre college,,KY,centre college,,KY,100
centura college-chesapeake,,VA,centura college-chesapeake,,VA,100
centura college-virginia beach,,VA,centura college-virginia beach,,VA,100
century college,,MN,century college,,MN,100
chadron state college,,NE,chadron state college,,NE,100
chamberlain university-arizona,,AZ,chamberlain university-arizona,,AZ,100
chamberlain university-california,,CA,chamberlain university-california,,CA,100
chamberlain university-florida,,FL,chamberlain university-florida,,FL,100
chamberlain university-georgia,,GA,chamberlain university-georgia,,GA,100
chamberlain university-illinois,,IL,chamberlain university-illinois,,IL,100
chamberlain university-indiana,,IN,chamberlain university-indiana,,IN,100
chamberlain university-louisiana,,LA,chamberlain university-louisiana,,LA,100
chamberlain university-michigan,,MI,chamberlain university-michigan,,MI,100
chamberlain university-missouri,,MO,chamberlain university-missouri,,MO,100
chamberlain university-nevada,,NV,chamberlain university-nevada,,NV,100
chamberlain university-new jersey,,NJ,chamberlain university-new jersey,,NJ,100
chamberlain university-north carolina,,NC,chamberlain university-north carolina,,NC,100
chamberlain university-ohio,,OH,chamberlain university-ohio,,OH,100
chamberlain university-texas,,TX,chamberlain university-texas,,TX,100
chamberlain university-virginia,,VA,chamberlain university-virginia,,VA,100
chaminade university of honolulu,,HI,chaminade university of honolulu,,HI,100
champlain college,,VT,champlain college,,VT,100
chapman university,,CA,chapman university,,CA,100
charles r drew university of medicine and science,,CA,charles r drew university of medicine and science,,CA,100
charleston southern university,,SC,charleston southern university,,SC,100
charlotte christian college and theological seminary,,NC,charlotte christian college and theological seminary,,NC,100
charter college,,WA,charter college,,WA,100
charter oak state college,,CT,charter oak state college,,CT,100
chatham university,,PA,chatham university,,PA,100
chestnut hill college,,PA,chestnut hill college,,PA,100
cheyney university of pennsylvania,,PA,cheyney university of pennsylvania,,PA,100
chicago state university,,IL,chicago state university,,IL,100
chipola college,,FL,chipola college,,FL,100
chowan university,,NC,chowan university,,NC,100
christian brothers university,,TN,christian brothers university,,TN,100
christopher newport university,,VA,christopher newport university,,VA,100
cincinnati state technical and community college,,OH,cincinnati state technical and community college,,OH,100
citadel military college of south carolina,,SC,citadel military college of south carolina,,SC,100
city college-gainesville,,FL,city college-gainesville,,FL,100
city college-miami,,FL,city college-miami,,FL,100
city university of seattle,,WA,city university of seattle,,WA,100
clarion university of pennsylvania,,PA,university of pennsylvania,,PA,87
clark college,,WA,clark college,,WA,100
clark state college,,OH,clark state college,,OH,100
clark university,,MA,clark university,,MA,100
clarke university,,IA,clarke university,,IA,100
clarkson college,,NE,clarkson college,,NE,100
clarkson university,,NY,clarkson university,,NY,100
clear creek baptist bible college,,KY,clear creek baptist bible college,,KY,100
cleary university,,MI,cleary university,,MI,100
clemson university,,SC,clemson university,,SC,100
cleveland institute of art,,OH,cleveland institute of art,,OH,100
cleveland institute of music,,OH,cleveland institute of music,,OH,100
cleveland university-kansas city,,KS,cleveland university-kansas city,,KS,100
clinton college,,SC,clinton college,,SC,100
coastal carolina university,,SC,coastal carolina university,,SC,100
coe college,,IA,coe college,,IA,100
coker university,,SC,coker university,,SC,100
colby college,,ME,colby college,,ME,100
colby-sawyer college,,NH,colby-sawyer college,,NH,100
college for creative studies,,MI,college for creative studies,,MI,100
college of biblical studies,,TX,college of biblical studies-houston,,TX,87
college of biblical studies-houston,,TX,college of biblical studies-houston,,TX,100
college of central florida,,FL,college of central florida,,FL,100
college of menominee nation,,WI,college of menominee nation,,WI,100
college of micronesia-fsm,,FM,college of micronesia-fsm,,FM,100
college of mount saint vincent,,NY,college of mount saint vincent,,NY,100
college of our lady of the elms,,MA,college of our lady of the elms,,MA,100
college of saint benedict,,MN,college of saint benedict,,MN,100
college of southern idaho,,ID,college of southern idaho,,ID,100
college of southern nevada,,NV,college of southern nevada,,NV,100
college of the atlantic,,ME,college of the atlantic,,ME,100
college of the holy cross,,MA,college of the holy cross,,MA,100
college of the marshall islands,,MH,college of the marshall islands,,MH,100
collin county community college district,,TX,collin county community college district,,TX,100
colorado college,,CO,colorado college,,CO,100
colorado mesa university,,CO,colorado mesa university,,CO,100
colorado mountain college,,CO,colorado mountain college,,CO,100
colorado school of mines,,CO,colorado school of mines,,CO,100
colorado state university pueblo,,CO,colorado state university pueblo,,CO,100
colorado state university-fort collins,,CO,colorado state university-fort collins,,CO,100
colorado technical university-colorado springs,,CO,colorado technical university-colorado springs,,CO,100
columbia basin college,,WA,columbia basin college,,WA,100
columbia central university,,PR,columbia central university-caguas,,PR,89
columbia central university-yauco,,PR,columbia central university-caguas,,PR,81
columbia college chicago,,IL,columbia college chicago,,IL,100
columbia college hollywood,,CA,columbia college hollywood,,CA,100
columbia international university,,SC,columbia international university,,SC,100
columbia southern university,,AL,columbia southern university,,AL,100
